Product Name,Processor Type,RAM,Storage,Display,Features,Price
"HP 250 G8 Core i3 11th Gen 15.6"" 4GB RAM 1TB HDD Laptop","Intel Core i3-1115G4 (6MB Cache, 3.00 GHz up to 4.10 GHz)","4GB DDR4 3200MHz, ", 1TB HDD,"15.6"" FHD (1920 x 1080)","Full-Size island-style keyboard, Type-C","55,000"
"HP 250 G8 Core i3 11th Gen 256GB SSD 15.6"" FHD Laptop","Intel Core i3-1115G4 (6MB Cache, 3.00 GHz up to 4.10 GHz)","8GB DDR4 3200MHz, ", 256GB SSD + 1TB HDD,"15.6"" FHD (1920 x 1080) IPS","Full-size island-style keyboard, Type-C","58,000"
"HP 250 G8 Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop","Intel Core i3-1115G4 (6MB Cache, 3.00 GHz up to 4.10 GHz)","8GB DDR4 3200MHz, ", 512GB SSD,"15.6"" FHD (1920 x 1080) IPS","Full-Size island-style keyboard, Type-C","59,500"
"HP 250 G8 Core i3 11th Gen 8GB RAM 15.6"" FHD Laptop","Intel Core i3-1115G4 (6MB Cache, 3.00 GHz up to 4.10 GHz)","8GB DDR4 3200MHz, ", 512GB SSD + 1TB HDD,"15.6"" FHD (1920 x 1080) IPS","Full-size island-style keyboard, Type-C","60,500"
"AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Concrete Grey Color","Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","4GB LPDDR4, ", 256GB SATA SSD,"14"" FHD (1920 x 1080) IPS","2M WebCam, 0.8W x 2 Speaker","20,000"
"AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Matt White Color","Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","4GB LPDDR4, ", 256GB SATA SSD,"14"" FHD (1920 x 1080) IPS","2M WebCam, 0.8W x 2 Speaker","20,000"
"AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Matt Black Color","Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","4GB LPDDR4, ", 256GB SATA SSD,"14"" FHD (1920 x 1080) IPS","2M WebCam, 0.8W x 2 Speaker","20,000"
Chuwi HeroBook Pro Intel Celeron N4020 14.1 inch Full HD Laptop with Windows 11,"Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)",4GB DDR4 , 128GB eMMC SSD,14.1 Inch(1920 x 1080) IPS Anti-Glare Display,"Touch, Type-C, Detachable","28,800"
"Lenovo IdeaPad D330 10IGL Celeron N4020 10.1"" HD Detachable 2-in-1 Touch Laptop","Intel Celeron N4020 (4M Cache,1.10 GHz up to 2.80 GHz)",4GB DDR4 2400MHz ," 1TB 5400rpm 2.5"" HDD","10.1"" (1280 x 800) HD Touchscreen","High Definition Audio, HD 720p Webcam","34,500"
Chuwi GemiBook XPro Intel Celeron N100 14.1 inch Full HD Laptop,"Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","8GB 3200Mhz, ", 256GB SSD,14.1 Inch(1920 x 1080) IPS Anti-Glare Display,"Stereo speakers, Dolby Audio","34,900"
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 15.6"" HD Laptop","Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","4GB DDR4 3200MHz, ", 1TB HDD,"15.6"" HD (1366 x 768)","Camera Privecy Shutter, Stereo speakers","35,000"
Chuwi GemiBook Plus Intel Celeron N100 15.6 inch Full HD Laptop,"Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","8GB DDR4, ", 256GB SSD,15.6 Inch(1920 x 1080) IPS Anti-Glare Display,"Chiclet Keyboard, Type-C","35,900"
"Lenovo IdeaPad Slim 3i 15IGL Intel Celeron N4020 15.6"" HD Laptop","Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","4GB DDR4 RAM, ", 1TB 5400RPM HDD,"15.6"" HD (1366 x 768)","Full-size keyboard with numeric keypad, Type-C","36,000"
"Lenovo IdeaPad Slim 1i Intel Celeron N4020 14"" FHD Laptop","Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","8GB DDR4, ", 256GB SSD,"14"" FHD (1920 x 1080) ","Bangla Keyboard, Type-C","36,500"
Asus P1511CMA Intel Celeron N4020 15.6-Inch HD Laptop,"Intel Celeron N4020 (4MB Cache, 1.10 GHz up to 2.80 GHz)","4GB 2933 MHz, ", 256GB SSD,"15.6"" HD (1366 x 768)","Backlit Keyboard, Type-C","37,500"
"HP 250 G8 Intel Celeron N4020 15.6"" FHD Laptop","Intel Celeron N4500 (4M Cache, 1.10 GHz up to 2.80 GHz)","8GB DDR4, ", 256GB SSD,"15.6"" FHD (1920 x 1080)","Bangla Keyboard, Type-C","38,000"
"Walton Prelude N40 Pro Celeron N4020 14"" FHD Laptop","Intel Celeron N4120 (4MB Cache, 1.10 GHz up to 2.60 GHz)","4GB DDR4 (Onboard), ", 256GB PCIEG3 SSD,"14"" FHD (1920x1080)","Bangla Keyboard, Type-C","39,750"
"Asus Vivobook X515KA Celeron N4500 15.6"" FHD Laptop","Intel Celeron N4500 (4M Cache, 1.10 GHz up to 2.80 GHz)","4GB DDR4 RAM, ", 1TB HDD,"15.6"" FHD (1920x1080)","Backlit Keyboard, Type-C","40,500"
"Walton Prelude N41 Pro Celeron N4120 14"" FHD Laptop","Intel Pentium Silver N5030 (4MB Cache, 1.10 GHz up to 3.10 GHz)","4GB DDR4, ",512GB PCIe G3 SSD,"14"" FHD (1920x1080)","Backlit Keyboard, Fingerprint , Type-C","42,550"
"HP 15s-fq3617TU Celeron N4500 15.6"" FHD Laptop","Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)","8GB DDR4, ", 256GB SSD,"15.6"" FHD (1920 x 1080)","Backlit Keyboard, Type-C","42,500"
"Walton Prelude N50 Pro Pentium Silver N5030 14"" FHD Laptop",AMD Ryzen 3 3250U (2.6 GHz up to 3.5 GHz),"4GB DDR4, ", 256GB M.2 SSD,"14"" FHD (1920x1080)","Backlit Keyboard, Type-C","43,750"
"Asus Vivobook E410MA Celeron N4020 14"" HD Laptop",AMD Ryzen 3 3250U processor(2.6 Ghz up to 3.5 Ghz),"8GB DDR4 RAM, ", 1TB HDD,"14"" HD (1366X768) LED Display","Dual speakers, Type-C","44,000"
ASUS D415DA Ryzen 3 3250U 14-inch HD Laptop,"Intel Celeron N4020 (1.10 GHz up to 2.80 GHz, Cache 4MB)",RAM : 4GB DDR4 , 512GB PCIE G3 SSD,"14"" HD (1366 x 768)",360° Flip & Touch Screen,"46,500"
"ASUS VivoBook 15 M515DA Ryzen 3 3250U 15.6"" HD Laptop",AMD Athlon Silver 3050U (2.3 GHz up to 3.2GHz),"8GB 2666MHz, ", 512GB SSD,"15.6"" HD (1366 x 768)","Backlit Keyboard, Type-C","46,500"
"Asus VivoBook 15 E510MA Intel Celeron N4020 15.6"" FHD Laptop","Intel Celeron N4500 (4M Cache, 1.10 GHz up to 2.80 GHz)",8GB; , 256GB,"15.6"" FHD (1920X1080)","Chiclet keyboard, Type-C","47,000"
